rank,trackName,trackName_count,top_trackId_for_name,top_trackId_count_for_name
1,Funeral,916,3rJDsZjIaCfJQSqRUvl0BM,307
2,Home,112,11RUCSAgpexhJSMmcuO4h2,11
3,Amazing Grace,91,4vzbm6J07XHPR9fuEfIkwS,4
4,Stay,80,4H7WNRErSbONkM06blBoGc,13
5,Runaway,78,3DK6m7It6Pw857FcQftMds,37
6,Creep,77,70LcF31zb1H0PyJoS1Sx1r,50
7,Heaven,76,0fYwfZcgijhIOyXn0RVPwq,14
8,Numb,69,2nLtzopw4rPReszdYBJU6h,32
9,Monster,67,2UREu1Y8CO4jXkbvqAtP7g,15
10,Hallelujah,64,3pRaLNL3b8x5uBOcsgvdqM,9
11,Forever,63,12OLyHDxt6dqlAybSPFBK3,10
12,Iris,63,6Qyc6fS4DsZjB2mRW9DsQs,47
13,Hold On,60,5vjLSffimiIP26QG5WcN2K,28
14,Memories,60,2b8fOow8UzyDFAE27YhOZM,15
15,The Night We Met,58,3hRV0jL3vUpRrcy398teAU,22
16,No Surprises,57,10nyNJ6zNy2YVYLrcwLccB,54
17,Angel,56,3xZMPZQYETEn4hjor3TR1A,22
18,Moonlight,55,0JP9xo3adEtGSdUEISiszL,22
19,Wish You Were Here,53,6mFkJmJqdDVQ1REhVfGgd1,24
20,My Way,53,3spdoTYpuCpmq19tuD0bOe,19
