name,description,playlistUrl
lost loved ones 💔,This playlist is for those who have lost their loved ones. Just know that they are always protective of you and proud of you ,https://open.spotify.com/playlist/4YFZ1CeJSayYvr7kcVy8Jo
crying cause my dog died,sad songs for when your pet youve had since you were one dies,https://open.spotify.com/playlist/4WIcLykdDZT9EASmvD5oqH
‎ ,,https://open.spotify.com/playlist/0Csb8WRsNnGDOVWhSYzKKk
Sad songs..,For everyone that lost someone loved in their life.,https://open.spotify.com/playlist/280TJL4oY60xFuQha4WNBA
FUNeirieel,,https://open.spotify.com/playlist/1qoRbqjerZAWy1JYxh4WYc
missing your grandparents,Proverbs 16:9🕊- look for the pink in the sunsets and  there I’ll be,https://open.spotify.com/playlist/0Fcog9FLF3BL6L6uAZ3u4K
Someone you loved died  😔 💔 ,This is a playlist dedicated to when some one special to you dies 😢💔,https://open.spotify.com/playlist/4UKXApXgfNkJphnWHed4uM
Funemyr,,https://open.spotify.com/playlist/7xQ2jbDadGTeb89MfXgwAH
Missing Dad❤️🕊,,https://open.spotify.com/playlist/1ONJg3HO7YSwiQDfbOJD7d
Funeek ,,https://open.spotify.com/playlist/4bY6QOoj9mjjOoiS8LxdY2
ʷᵉˡᶜᵒᵐᵉ ᵗᵒ ᵐʸ ᶠᵘⁿᵉʳᵃˡ ,ᵃ ᵖˡᵃʸˡⁱˢᵗ ᵒᶠ ᵉᵛᵉʳʸ ˢᵒⁿᵍ ᵗʰᵃᵗ ⁱ ᶜʰᵉʳⁱˢʰ ˙ᵕ˙,https://open.spotify.com/playlist/1rlfHN1VkN6LSLYKyebCM1
Funebri,,https://open.spotify.com/playlist/5tade2Eda0E9flN0EpvwWx
Songs when my grandma passed  😭❤️,,https://open.spotify.com/playlist/0KTqOs8sLeasvTiXeP7xnC
my grandpa died and I can't stop thinking about it.,,https://open.spotify.com/playlist/3YBuB2264wfrp9q2gFkoQ8
Funérailles et décès,"Les plus belles chansons pour rendre hommage à un être cher, pour souligner son départ, son manque dans nos vies et lui faire nos derniers adieux. ",https://open.spotify.com/playlist/3FU8XuZcJbY3HJtOyBFk0v
𝑚𝑦 𝑓𝑢𝑛𝑒𝑟𝑎𝑙 🫀🧟‍♀️,&quot; A real heart from a real girl. &quot;,https://open.spotify.com/playlist/1xlHKsGQcbRpzB4MD3F9wT
Top 50 Songs About Missing Someone You Love,,https://open.spotify.com/playlist/7DOI5bjVzRsmzhNFdHuyh8
POV you're a crow | six of crows playlist,"𝘯𝘰 𝘮𝘰𝘶𝘳𝘯𝘦𝘳𝘴, 𝘯𝘰 𝘧𝘶𝘯𝘦𝘳𝘢𝘭𝘴. Going through all the events with the Dregs as in Six of crows and Crooked kingdom as well as heists. 𝘧𝘦𝘢𝘳 𝘪𝘴 𝘢 𝘱𝘩𝘰𝘦𝘯𝘪𝘹. 𝙉𝙞𝙣𝙖, 𝘐 𝘢𝘮 𝘩𝘰𝘮𝘦",https://open.spotify.com/playlist/6jYP7FELj77Pf0cAn2ftRI
𝔉𝔲𝔫𝔢𝔯𝔞𝔩 𝔭𝔩𝔞𝔶𝔩𝔦𝔰𝔱,,https://open.spotify.com/playlist/1nWLPC8FjOn0qqcqN2qjo1
A Clockwork Orange (1971) - OST Original Soundtrack,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn&#x27;t go as planned.",https://open.spotify.com/playlist/4IjudSaU3uopCCwenC14gh
A Clockwork Orange Soundtrack,,https://open.spotify.com/playlist/2l5BVo12TlrAD4jBTtxdHq
Celebration of Life Songs,Monty’s Celebration of Life playlist ,https://open.spotify.com/playlist/4v3ODI5duz1sted3hxqmjR
