name,description,playlistUrl
lost loved ones 💔,This playlist is for those who have lost their loved ones. Just know that they are always protective of you and proud of you ,https://open.spotify.com/playlist/4YFZ1CeJSayYvr7kcVy8Jo
Casa funeraria,,https://open.spotify.com/playlist/2AXPzgaDIFwNUHJDpZDB3q
‎ ,,https://open.spotify.com/playlist/0Csb8WRsNnGDOVWhSYzKKk
a grieving widow  🕸️ Widowmaker playlist,,https://open.spotify.com/playlist/7sAzPFub0JDMEiAeBxhaBc
Sonnets for the recently deceased,,https://open.spotify.com/playlist/2z1auUTY8vcjVwAt45qI5f
Chanson funerailles,,https://open.spotify.com/playlist/0co4lQkpwGdLJ8ZXQ5nsNI
Missing Daddy 💔,A playlist dedicated to losing my dad,https://open.spotify.com/playlist/3hXA7nSaMJIjonYu7J6lkJ
Canciones para mi velorio,,https://open.spotify.com/playlist/5iyhFxAbxuuCCogfhaHed9
Losing your grandfather,I’m sorry you lost him and I hope this playlist helps you cope the way it helped me❤️,https://open.spotify.com/playlist/3IqL6WOtjPt9cl6xiW3fcx
Missing my brother in heaven ,,https://open.spotify.com/playlist/5hCPZQzHhMAB9ofO7Q44dQ
Sad songs..,For everyone that lost someone loved in their life.,https://open.spotify.com/playlist/280TJL4oY60xFuQha4WNBA
songs for missing someone that's in heaven,,https://open.spotify.com/playlist/4ix0RQFVb9tCztScMgUB8i
FUNeirieel,,https://open.spotify.com/playlist/1qoRbqjerZAWy1JYxh4WYc
missing your grandparents,Proverbs 16:9🕊- look for the pink in the sunsets and  there I’ll be,https://open.spotify.com/playlist/0Fcog9FLF3BL6L6uAZ3u4K
Funemyr,,https://open.spotify.com/playlist/7xQ2jbDadGTeb89MfXgwAH
Worship for a grieving heart,,https://open.spotify.com/playlist/0z2WPsgihe9zAlGSmOICcu
In Memory of Dad 💙,,https://open.spotify.com/playlist/0xOGcCX6wgJKF61m87nwYn
Missing Dad❤️🕊,,https://open.spotify.com/playlist/1ONJg3HO7YSwiQDfbOJD7d
Funeek ,,https://open.spotify.com/playlist/4bY6QOoj9mjjOoiS8LxdY2
Losing a pet 😭,,https://open.spotify.com/playlist/5tuXj1g0WLounbcdh4vbgC
bangers that would resurrect you from hospice,songs that will pull you out of a deep manic depression as well as make you sit straight up from your open casket viewing.,https://open.spotify.com/playlist/6pZDErDPz1qfVPut5RZFr9
ʷᵉˡᶜᵒᵐᵉ ᵗᵒ ᵐʸ ᶠᵘⁿᵉʳᵃˡ ,ᵃ ᵖˡᵃʸˡⁱˢᵗ ᵒᶠ ᵉᵛᵉʳʸ ˢᵒⁿᵍ ᵗʰᵃᵗ ⁱ ᶜʰᵉʳⁱˢʰ ˙ᵕ˙,https://open.spotify.com/playlist/1rlfHN1VkN6LSLYKyebCM1
Funebri,,https://open.spotify.com/playlist/5tade2Eda0E9flN0EpvwWx
Songs when my grandma passed  😭❤️,,https://open.spotify.com/playlist/0KTqOs8sLeasvTiXeP7xnC
Hospice playlist,,https://open.spotify.com/playlist/1y1ZxCPZFVwynvQItCMZHU
Dad's passing away songs,,https://open.spotify.com/playlist/14IoZboBdCUhk0jjK3uR65
Hospice & Palliative Music,Selected music for hospice and palliative care patients.,https://open.spotify.com/playlist/79zGypEDGgYIwfsx3neXlh
𝑚𝑦 𝑓𝑢𝑛𝑒𝑟𝑎𝑙 🫀🧟‍♀️,&quot; A real heart from a real girl. &quot;,https://open.spotify.com/playlist/1xlHKsGQcbRpzB4MD3F9wT
Top 50 Songs About Missing Someone You Love,,https://open.spotify.com/playlist/7DOI5bjVzRsmzhNFdHuyh8
POV you're a crow | six of crows playlist,"𝘯𝘰 𝘮𝘰𝘶𝘳𝘯𝘦𝘳𝘴, 𝘯𝘰 𝘧𝘶𝘯𝘦𝘳𝘢𝘭𝘴. Going through all the events with the Dregs as in Six of crows and Crooked kingdom as well as heists. 𝘧𝘦𝘢𝘳 𝘪𝘴 𝘢 𝘱𝘩𝘰𝘦𝘯𝘪𝘹. 𝙉𝙞𝙣𝙖, 𝘐 𝘢𝘮 𝘩𝘰𝘮𝘦",https://open.spotify.com/playlist/6jYP7FELj77Pf0cAn2ftRI
𝔉𝔲𝔫𝔢𝔯𝔞𝔩 𝔭𝔩𝔞𝔶𝔩𝔦𝔰𝔱,,https://open.spotify.com/playlist/1nWLPC8FjOn0qqcqN2qjo1
the pain of losing a pet.,wishing you comfort. thank you for saving my playlist 🤍,https://open.spotify.com/playlist/4WtviCaJGY41Z2AwpJ01L1
Missing someone in heaven. Country addition ,,https://open.spotify.com/playlist/0JSfgCSsvIHuU2qcMLrrmn
Missing Someone in Heaven,,https://open.spotify.com/playlist/2gaIDwG3ubuh0an3ZPXyU9
Celebration of Life Songs,Monty’s Celebration of Life playlist ,https://open.spotify.com/playlist/4v3ODI5duz1sted3hxqmjR
