trackName,trackArtists,count,playlist_count,weighted_score,trackIds
Funeral,Phoebe Bridgers,883,28,1.2978676600165326,0xF4pgg7PrOG1HccKenJYz|1cXbqxstF4p2EMysm18xZN|2Tbym0L4Xlox9nol0YzPct|3rJDsZjIaCfJQSqRUvl0BM|4GvdsVns332wQ3JsWAg2OV|5rzJxpQwNHMM5zgKBGlA05
See You Again (feat. Charlie Puth),Wiz Khalifa | Charlie Puth,52,48,0.7561177941877341,2JzZzZUQj3Qff7wapcbKjc|4Aep3WGBQlpbKXkW7kfqcU|66CFbqJScx6zRieGllITcs|7wqSzGeodspE3V6RBD5W8L
Fourth of July,Sufjan Stevens,43,42,0.5976929343179336,4K3RZJ8sWPbv0IedcnEfw6|5Qnrgqy1pAm9GyNQOgyVFz
Supermarket Flowers,Ed Sheeran,40,39,0.5010627926062418,4VuS959DSpr82t3qBqCrWG
If Heaven Wasn't So Far Away,Justin Moore,26,24,0.4600022523300296,0aW7CSfoMBKBzLE7VerHyn|24Ew0QYeGLh62CX4bz9iGJ|40Kv5cQjERTfkMym9yrpt1
How Do I Say Goodbye,Dean Lewis,33,33,0.4542691060945631,1aOl53hkZGHkl2Snhr7opL|5hnGrTBaEsdukpDF6aZg8a
You Should Be Here,Cole Swindell,30,28,0.4503493936689462,5jc9qLH1djdgTj0oVwhpk6|63thx7OANplv4I4BQsanHk
No Surprises,Radiohead,56,54,0.44718046881055445,10nyNJ6zNy2YVYLrcwLccB|1bSpwPhAxZwlR2enJJsv7U
All I Want,Kodaline,32,31,0.4445967248357042,0NlGoUyOJSuSHmngoibVAs|1XczdQt6RKNkEQfPqUsi3q|2PwXOevGUSkU8qaYZjgLq2|2jTidefcsTu6VQhpIImJrt
Dancing in the Sky,Dani and Lizzy,32,31,0.4382788469768726,1tJ3ts6jjDedyFWDJ2mMEZ|4kdl5LATOjf8q4bvubBlBI|7s5oB043vxCzyJuLNVl3PA
How to Save a Life,The Fray,42,41,0.41482213477264795,50FcngS8mGjEttXk6G2xkh|5fVZC9GiM4e8vu99W0Xf6J
Heaven Was Needing A Hero,Jo Dee Messina,27,27,0.3972593968581936,1ZORIAAPFg3akZMeiPaXCO|2vQ51NrWSuiZeD7pxDizuN
Hold On,Chord Overstreet,27,27,0.39653460663511114,4mKYqRVmYP4tKZGitN2iWh|5vjLSffimiIP26QG5WcN2K
Jealous of the Angels,Donna Taggart,20,20,0.39584389853538676,3oV4PrdUzjadLAkjcf4xwh
When I Get Where I'm Going (feat. Dolly Parton),Brad Paisley | Dolly Parton,25,24,0.3941372454674575,3VLCtStwYsAL4LKZgeUvy3
You Raise Me Up,Josh Groban,17,17,0.3899720538964902,1xugsCboIm1yILqpLvH9aD|4TbNLKRLKlxZDlS0pu7Lsy
Funeral Procession: Just a Closer Walk With Thee (Dirge),Magnificent Sevenths,2,2,0.38095238095238093,0smRtMeUwmt11uDp0IdMGz
Liberty Funeral March,Liberty Brass Band,2,2,0.38095238095238093,1CsFSZ6CBkPlGMaBame50k
The Night We Met,Lord Huron,50,47,0.37908665079949017,0QZ5yyl6B6utIWkxeBDxQN|3hRV0jL3vUpRrcy398teAU|4iH31mAwPbG9SSPN6nHWgu|5yJaXWIErrrsjQ3J0eR5aK|6mORGLOz79w6VsCRLWYYuK
Somewhere Over The Rainbow/What A Wonderful World,Israel Kamakawiwo'ole,22,21,0.37063882341341065,25U7raB3ZSszayTYClh4hF
My Way,Frank Sinatra,22,22,0.3639912612352961,0l7QkGGJ9r39NcscEkiJbw|3spdoTYpuCpmq19tuD0bOe|6lTTzSk1hRrxp4VMwXBp2l
Medicine,Daughter,23,22,0.3566180608476255,1ujiHGg5p9SVrNIV4jumQK|2I07Lbee7UvoAdlTAl37AM|4TxJQDtvYHJcOBH6ONi6q2|5Zz8mrmVVhOq3iuv8Gh0MX|6Qof5yPOxcKfCAZaZMtZ70
Before You Go,Lewis Capaldi,26,24,0.356349398631282,2gMXnyrvIjhVBUZwvLZDMP|7ce20yLkzuXXLUhzIDoZih
Yellow,Coldplay,43,43,0.3477195061518083,3AJwUDP919kvQ9QcozQPxg
In The Stars,Benson Boone,30,29,0.3472039622622499,1ei3hzQmrgealgRKFxIcWn|315aBOUD3xtj7sUMXtRgMV
Tears in Heaven,Eric Clapton,28,26,0.3427488644420118,1kgdslQYmeTR4thk9whoRw|2lJOKQmXQ5yiRyCTE5FyDE|7utRJ4BeYx85khzP3lKoBX
Angel,Sarah McLachlan,23,23,0.34268199021273976,3xZMPZQYETEn4hjor3TR1A|6G8fblD9DbcEmaKOKDy3XL
I Can Only Imagine,MercyMe,17,16,0.3416295481226605,0lVYRIVjK77Z6uG2GgM8Kl|1G5S1rEr4L57ftizRHcYDP|3uMBM9QJsJaxXYNb57QpUA|6YUNtSi0DCF1CbXo1q9l13
"Volver, Volver",Vicente Fernández,6,5,0.3390798912566868,4Fvnz1ZJ86IdqDAepWYPAh
One More Day,Diamond Rio,23,22,0.3370942372264735,1uMi5mWtY2HHiUwHl7S9p7|2K9OxCyv7zHYKZETYcaouz|3TNoNv8Z80M3pfm6CcODsh|5mcWdITson4DJcYtH5xo0f
Götterdämmerung: Siegfried's Funeral March,Richard Wagner | George Szell | The Cleveland Orchestra,1,1,0.3333333333333333,6pt4fidxb4CiqiPGmxM4sV
Götterdämmerung: Götterdämmerung (Siegfried's Death and Funeral March) [Siegfried's Death & Funeral March],Richard Wagner | Slovak Radio Symphony Orchestra | Uwe Mund,1,1,0.3333333333333333,68VtAt2Ro2gY12iJiv2vSi
"Wagner: Götterdämmerung, Act 3: Siegfried's Funeral March",Richard Wagner | Otto Klemperer | Philharmonia Orchestra,1,1,0.3333333333333333,3S7nhBTKi1wDixuQ6RsB6l
West Lawn Dirge,The Eureka Brass Band,1,1,0.3333333333333333,5BW2jR7FVRqmQg1PDfS1ou
Visiting Hours,Ed Sheeran,22,22,0.32875613508259943,0rt63HYAAIzUZo5O2D0uA6|44V6EzbUSYgyfsNiP0FrlA
Drink A Beer,Luke Bryan,19,19,0.32645851904211365,1PoGWZbJPGmViVi7CYbDUK|3Qj2YJB1KmgXr5SutGokdb|7sYozbHV4ikW2p6WFiNX6B
Pink Skies,Zach Bryan,20,20,0.32024517946946135,4ZJ4vzLQekI0WntDbanNC7
Go Rest High On That Mountain,Vince Gill,24,22,0.31750299429349543,5SMefI3xXztRTHDVglZsgo|7C04W8ooqQD3vWKUSzeYnz
Memories,Maroon 5,26,24,0.3165603184750057,2b8fOow8UzyDFAE27YhOZM|4cktbXiXOapiLBMprHFErI|5a8Zd2q8alWkzqmX26fnvw|5ehCDvcWnEm7Bu2ox59GuJ
Sparks,Coldplay,35,35,0.3154102749891578,7D0RhFcb3CrfPuTJ0obrod
Amazing Grace,The Royal Scots Dragoon Guards,6,5,0.3063332523728563,32XRrv3kH5ZwU3YEVBG93e|3oGdSOxJLZc3CKdLyBYEAc|6I3NxBRBsqbJEJ3JmMYqvE
Five More Minutes,Scotty McCreery,13,13,0.30568306449442545,1XuXUiGxXr1MeWB9h50hHc|1eFrhAmzoQnTlwvnqvLt7D|3qTmB5HxP9ilJaiM6B1yuk|66IULVOTImQG2u0cJ3Ls04
Nadie Es Eterno,Antonio Aguilar,7,7,0.3017971843909978,4i3uCgeimloYd8UgEj8Rkl
I Drive Your Truck,Lee Brice,16,16,0.30089084864177995,6aPc6SSWgTsiXrrUpJCPlj
The Scientist,Coldplay,39,39,0.2990878424876753,2LTl1pU074hnzAdy0SpHAb|4jh80N6ZR9HvE15mtdJfJy|75JFxkI2RXiU7L9VXzMkle
I'm Already There,Lonestar,19,19,0.2969692080547497,34Vn9nKfztyLco9lJazy4j
Te Vas Ángel Mío,Cornelio Reyna,5,5,0.2952380952380952,0Hsh3PrTkYA6I8I81Mh4GB
"I'll Be Missing You (feat. Faith Evans, 112)",Diddy | Faith Evans | 112,22,21,0.2948820646741347,3QHONiXGMGU3z68mQInncF|5KzGnQnKtflQQTAtxCPipy
Las Golondrinas,Mariachi Vargas De Tecalitlán,7,5,0.2948385018771829,6Umn0YEG0gfnIHKKIfN9vl|7cBjblp4H6pflIoE2YZNHq
Amor Eterno,Rocío Dúrcal,8,8,0.2905140008972698,2TC4v9YiuQYk3Tk8RH7fV4|7B0sqO42Qv9d1aspOQSNi7
