name,description,ownerV2/__typename,ownerV2/data/__typename,ownerV2/data/name,ownerV2/data/uri,ownerV2/data/username,playlistUrl,uri
missing someone who passed away ,grief is okay to experience. don’t let someone tell you otherwise. ,UserResponseWrapper,User,HAILEY,spotify:user:hay_peyton44,hay_peyton44,https://open.spotify.com/playlist/3p0pyQmJi6h3xUn25403WH,spotify:playlist:3p0pyQmJi6h3xUn25403WH
Top 30 Funeral Songs,"Losing a loved one is an experience that touches the deepest corners of our hearts. In these moments of grief and remembrance, music often becomes a source of solace, offering a way to express emotions when words fall short.",UserResponseWrapper,User,Melbourne Entertainment Company,spotify:user:31iou4hcmgfvp2gvldznyojp3gza,31iou4hcmgfvp2gvldznyojp3gza,https://open.spotify.com/playlist/355yE5CaHLZdtreU5oZdGF,spotify:playlist:355yE5CaHLZdtreU5oZdGF
Funeral sad songs ⚰,,UserResponseWrapper,User,alanis1419,spotify:user:alanis1419,alanis1419,https://open.spotify.com/playlist/3thnlMfhteeOB60W1vHXjw,spotify:playlist:3thnlMfhteeOB60W1vHXjw
SPANISH SONGS FOR FUNERAL,,UserResponseWrapper,User,buntyowe,spotify:user:buntyowe,buntyowe,https://open.spotify.com/playlist/23amRtwWEsdsjQYzSx7XeU,spotify:playlist:23amRtwWEsdsjQYzSx7XeU
Grief Mix,"Grief music for you. Also try <a href=""spotify:playlist:37i9dQZF1EIfkXslOKa2RE"">easy listening</a>, <a href=""spotify:playlist:37i9dQZF1EQncLwOalG3K7"">pop</a>, <a href=""spotify:playlist:37i9dQZF1EIhkeucoxGhUI"">singer-songwriter</a>, <a href=""spotify:playlist:37i9dQZF1EIcMWU5aFysN5"">bollywood</a>, <a href=""spotify:playlist:37i9dQZF1EIfGqSExhsiLt"">slowcore</a>",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1EId30WxHM3lUZ,spotify:playlist:37i9dQZF1EId30WxHM3lUZ
Memorial Songs for a lost loved one 💔😘,,UserResponseWrapper,User,Lottie Elizabeth,spotify:user:lollybubs28,lollybubs28,https://open.spotify.com/playlist/0mVRTCfz24RROOJeaic9XL,spotify:playlist:0mVRTCfz24RROOJeaic9XL
Loved one passed away 🕊,,UserResponseWrapper,User,Maya Jarzabek,spotify:user:31h73p5jpacccor7t7a5ldz5wpku,31h73p5jpacccor7t7a5ldz5wpku,https://open.spotify.com/playlist/21IngzGNxvL9E02dAsxJcO,spotify:playlist:21IngzGNxvL9E02dAsxJcO
Black Funeral Songs ,,UserResponseWrapper,User,Honorio Freeland,spotify:user:12138678323,12138678323,https://open.spotify.com/playlist/5Fnlzr4KYwEE1z4ITNCGPU,spotify:playlist:5Fnlzr4KYwEE1z4ITNCGPU
The Best Farewell Songs Top 50 Funeral Songs ,The most popular funeral songs of 2021,UserResponseWrapper,User,Holy Grail TV,spotify:user:0j7o0t504vmpypnhxa1db9okn,0j7o0t504vmpypnhxa1db9okn,https://open.spotify.com/playlist/2H11P9KofhWu9EYUOoqOPm,spotify:playlist:2H11P9KofhWu9EYUOoqOPm
Songs for grieving/losing loved ones,I’m sorry for your loss. I hope this playlist will help you find some comfort like it did for me.,UserResponseWrapper,User,H,spotify:user:zgf06ztlycm8q3jthfiuf0m7p,zgf06ztlycm8q3jthfiuf0m7p,https://open.spotify.com/playlist/1YCK1vKDgtaySzB0uxTxrA,spotify:playlist:1YCK1vKDgtaySzB0uxTxrA
MOM'S FUNERAL 💜,,UserResponseWrapper,User,lindskusbel14,spotify:user:lindskusbel14,lindskusbel14,https://open.spotify.com/playlist/2zef75GXlLzU9u9OHF5DsT,spotify:playlist:2zef75GXlLzU9u9OHF5DsT
"Christian Songs for Funerals, Grief & Loss","A Christian playlist with worship songs and items for those dealing with grief and loss - or looking for a song for a funeral, memorial or celebration of life service. ",UserResponseWrapper,User,Steve,spotify:user:bn1tnrr1iashdn11yt9nyivw0,bn1tnrr1iashdn11yt9nyivw0,https://open.spotify.com/playlist/2mt9VfZQs1wcem3mBW7ytl,spotify:playlist:2mt9VfZQs1wcem3mBW7ytl
Country Funeral Songs,,UserResponseWrapper,User,Luke Newman,spotify:user:hh8owaog83ydrp066xrwadb61,hh8owaog83ydrp066xrwadb61,https://open.spotify.com/playlist/7q34hxXlAHyUm2OWjtZMlE,spotify:playlist:7q34hxXlAHyUm2OWjtZMlE
Funeral Songs to Celebrate Life,,UserResponseWrapper,User,funeralOne,spotify:user:a4zhp97a5uu8x6615hth9887y,a4zhp97a5uu8x6615hth9887y,https://open.spotify.com/playlist/0q0Qa0kov54ebgM7uk3kJp,spotify:playlist:0q0Qa0kov54ebgM7uk3kJp
songs I want at my funeral ,,UserResponseWrapper,User,.,spotify:user:31my3su25raajiqzmg423tanjs44,31my3su25raajiqzmg423tanjs44,https://open.spotify.com/playlist/22JvEsJmvpkYqKILj9iM6Y,spotify:playlist:22JvEsJmvpkYqKILj9iM6Y
Funeral Background Music,,UserResponseWrapper,User,Leslie.thackery,spotify:user:w8xo2sr0nl3iw9by2km688yu2,w8xo2sr0nl3iw9by2km688yu2,https://open.spotify.com/playlist/2Cy6SAFnSJhbewEsS12Q05,spotify:playlist:2Cy6SAFnSJhbewEsS12Q05
Catholic Funeral Songs,,UserResponseWrapper,User,jskerjan,spotify:user:jskerjan,jskerjan,https://open.spotify.com/playlist/3fhnZGfBrw5PHnYmI86Pja,spotify:playlist:3fhnZGfBrw5PHnYmI86Pja
best funeral songs,&quot;I turned around and the water was closing around me&quot;,UserResponseWrapper,User,nel,spotify:user:levimbony26,levimbony26,https://open.spotify.com/playlist/0tFEnKpaqod3mmKj5bWvJN,spotify:playlist:0tFEnKpaqod3mmKj5bWvJN
Funeral Instrumental,,UserResponseWrapper,User,legacychapelfh,spotify:user:legacychapelfh,legacychapelfh,https://open.spotify.com/playlist/2fjSGrckkwxeRbVf21cPom,spotify:playlist:2fjSGrckkwxeRbVf21cPom
Celebration of Life Songs,Monty’s Celebration of Life playlist ,UserResponseWrapper,User,Monty Nott,spotify:user:4wdudxg77hccq19j8tscdccaz,4wdudxg77hccq19j8tscdccaz,https://open.spotify.com/playlist/4v3ODI5duz1sted3hxqmjR,spotify:playlist:4v3ODI5duz1sted3hxqmjR
#2 Black funeral music,,UserResponseWrapper,User,Mountcastle,spotify:user:e4tj0qbdbebl26lc9vukjwxza,e4tj0qbdbebl26lc9vukjwxza,https://open.spotify.com/playlist/4q7DA7B4dd1Bz1Q3AfzBbe,spotify:playlist:4q7DA7B4dd1Bz1Q3AfzBbe
