name,description,owner_name,owner_id,owner_image,playlistUrl,uri
The Funeral (Excision Remix) Radio,"With Band of Horses, Excision, Sullivan King and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E8NJzpzK6A881,spotify:playlist:37i9dQZF1E8NJzpzK6A881
"Three Days Grace, I Prevail, and The Funeral Portrait 2026",,meganadrianne,meganadrianne,,https://open.spotify.com/playlist/0I2S3ijtakqo6K2Vm8clpP,spotify:playlist:0I2S3ijtakqo6K2Vm8clpP
Rose Funeral Radio,"With Suffokate, Salt The Wound, Annotations Of An Autopsy and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E4A3f4wwBdSlV,spotify:playlist:37i9dQZF1E4A3f4wwBdSlV
Dark Funeral Radio,"With Watain, Immortal, Emperor and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E4xpJCPuPR0RD,spotify:playlist:37i9dQZF1E4xpJCPuPR0RD
Elvis Funeral songs,,nicole333888,nicole333888,,https://open.spotify.com/playlist/4QgDrcJg3WASrGnm7mkii9,spotify:playlist:4QgDrcJg3WASrGnm7mkii9
MARIACHI FUNERALES DE CAJON,Canciones para funerales que los mariachi&#x27;s deben que saber,Sandy🎻🌷💕,saarias,https://i.scdn.co/image/ab6775700000ee85c4ea8a85fb891e03312b4daa,https://open.spotify.com/playlist/06nTpoJx7NJTsPExROVYKf,spotify:playlist:06nTpoJx7NJTsPExROVYKf
New Orleans Funeral Marches,,Thomas Brunkard,1156926574,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-1/619931993_10163821618296539_6994172595065397588_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=110&ccb=1-7&_nc_sid=08baa4&_nc_ohc=zViziw8rtywQ7kNvwGhy9Lf&_nc_oc=AdrNAk7xGhIeT-d4nhNsj7Qi3dVlUPBL5lXNxAgH0wQs3DPHxuvNpK_6pNLwmhGZFrc9ycQZU7kmBbJh8sKsNGGB&_nc_zt=24&_nc_ht=scontent-ord5-3.xx&edm=AP4hL3IEAAAA&_nc_gid=iKPj7UYc7L4Grq0o6g17JQ&_nc_tpa=Q5bMBQGaBE4fTxxHO2nsUHIABZu_xZ9M9kgnDr6hvvkLJRg-tGR9X0XYzgIC6mG3QhOdH3GTP_bU&oh=00_AfzfJh1JwheJJ3nupqmBiyU0NZIgx-Hy3PO--KEGOREk_g&oe=69C259EC,https://open.spotify.com/playlist/3GFypmkGNgtyhMqfc2FsB2,spotify:playlist:3GFypmkGNgtyhMqfc2FsB2
u passed away too early,the only thing which stays till the end is memory,chle,8iqry9agz96nwdjcfzy8td59d,https://i.scdn.co/image/ab6775700000ee85bd0ae28d7a59848d6cff9817,https://open.spotify.com/playlist/65Esr4i0Hnd2O6fyHFj0Dv,spotify:playlist:65Esr4i0Hnd2O6fyHFj0Dv
lost loved ones 💔,This playlist is for those who have lost their loved ones. Just know that they are always protective of you and proud of you ,ttommaa,qel3k3gf43sfatvm1nzmdavtf,https://i.scdn.co/image/ab6775700000ee85d58234c0df91ff0314696be7,https://open.spotify.com/playlist/4YFZ1CeJSayYvr7kcVy8Jo,spotify:playlist:4YFZ1CeJSayYvr7kcVy8Jo
Catholic Wake / Funeral Music,"Play in the background.  Help reawaken your Catholic Faith and those around you.  What was that famous quote? - Preach the gospel at all times, if necessary use music.",Ldar,ldaroza,,https://open.spotify.com/playlist/6E33KwtnLQy61jhzoqZQE0,spotify:playlist:6E33KwtnLQy61jhzoqZQE0
crying cause my dog died,sad songs for when your pet youve had since you were one dies,finnn,dsni992mcciof62dxq2tvbdoi,https://i.scdn.co/image/ab6775700000ee850f4a5ac985045043fa210b2b,https://open.spotify.com/playlist/4WIcLykdDZT9EASmvD5oqH,spotify:playlist:4WIcLykdDZT9EASmvD5oqH
Christian contemporary funeral,,noah_bozell,noah_bozell,,https://open.spotify.com/playlist/0MvMdYCSs3rlFxrA1Vc5Nb,spotify:playlist:0MvMdYCSs3rlFxrA1Vc5Nb
Weddings & Funerals,,Hazey,rncrena9aua5lv2pu8l9ft1m0,,https://open.spotify.com/playlist/4ADcBAf8mlTaP2dNs3J1FQ,spotify:playlist:4ADcBAf8mlTaP2dNs3J1FQ
Grieving the passing of a loved one,"I’m so sorry for your loss, take your time to heal and take care of yourself&lt;3",Your imaginary companion,xnllfxqbcz0y30ptl48xu5ylo,https://i.scdn.co/image/ab6775700000ee85ac9816be88f021cc3b930857,https://open.spotify.com/playlist/3UpuZiT9SjoSPgHMwgKsqA,spotify:playlist:3UpuZiT9SjoSPgHMwgKsqA
"Death Doom, Doomed Death",A playlist covering both Death doom and Funeral Doom. Find me on Instagram to pitch bands and talk music: @tito.vsp,Tito Vespasiani,titohelios,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=10202800609329373&height=300&width=300&ext=1776561301&hash=AT8F8lSTmyDuD64O_sA2DIBV,https://open.spotify.com/playlist/4FkMN6CAkoywP6wLOzYhBu,spotify:playlist:4FkMN6CAkoywP6wLOzYhBu
plailist para funeral,,Resa,zs5n1bqcy9uuqayq5cq6i5gcn,https://i.scdn.co/image/ab6775700000ee85018ae5eddcd40d1651e218de,https://open.spotify.com/playlist/679QmERiEQPfpoxXuwdjOM,spotify:playlist:679QmERiEQPfpoxXuwdjOM
Grief Folk,,Caroline Grace Fullerton,1265782750,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/465283236_27744603148487167_7891050541517149770_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=101&ccb=1-7&_nc_sid=08baa4&_nc_ohc=KYmSboGMTskQ7kNvwHjwXux&_nc_oc=AdpmfYLFyaMQEBLJZ6VnEawSZ_8PmL6jT3Mcxs1YOOSpy2FdMR4E6ARDhiD8V1rvM1Pehrxf5u1WxEYdZO9YfqQy&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AP4hL3IEAAAA&_nc_gid=GSs6VB4XgzbetOyCpMMOqA&_nc_tpa=Q5bMBQF0Pbd8IHCONHHNkLz84vOO1InFVSrR4kDoKp8-0mgkS2Spu8ig1fmd953I82bHz3lL9xaE&oh=00_AfwpiaWVQS076TDVEkCTf1bE9M_ra6XLK1r4OIcXTpkrFg&oe=69C246B3,https://open.spotify.com/playlist/0o0OKSAZESoH6FRgmJnMNO,spotify:playlist:0o0OKSAZESoH6FRgmJnMNO
