category,rank,value,playlist_count,playlist_rate,total_occurrences
trackName,1,Home,91,0.141966,112
trackName,2,Runaway,72,0.112324,78
trackName,3,Creep,71,0.110764,77
trackName,4,Stay,65,0.101404,80
trackName,5,Heaven,61,0.095164,76
trackName,6,Numb,60,0.093604,69
trackName,7,Funeral,58,0.090484,916
trackName,8,Iris,58,0.090484,63
trackName,9,Forever,56,0.087363,63
trackName,10,Hallelujah,54,0.084243,64
trackName,11,Hold On,54,0.084243,60
trackName,12,No Surprises,54,0.084243,57
trackName,13,Monster,52,0.081123,67
trackName,14,Angel,52,0.081123,56
trackName,15,Memories,51,0.079563,60
trackName,16,The Night We Met,51,0.079563,58
trackName,17,Yellow,49,0.076443,49
trackName,18,See You Again (feat. Charlie Puth),48,0.074883,52
trackName,19,Mr. Brightside,48,0.074883,49
trackName,20,Sweater Weather,48,0.074883,49
trackName,21,Let Down,48,0.074883,48
trackName,22,Pain,48,0.074883,48
trackName,23,My Way,47,0.073323,53
trackName,24,Wish You Were Here,47,0.073323,53
trackName,25,Ride,47,0.073323,52
trackName,26,I Hate Everything About You,47,0.073323,51
trackName,27,505,46,0.071763,47
trackName,28,Moonlight,45,0.070203,55
trackName,29,Lost,45,0.070203,49
trackName,30,All I Want,45,0.070203,48
trackName,31,Flashing Lights,45,0.070203,47
trackName,32,Fourth of July,45,0.070203,46
trackName,33,See You Again (feat. Kali Uchis),45,0.070203,46
trackName,34,Everlong,45,0.070203,45
trackName,35,Heartless,44,0.068643,50
trackName,36,All I Need,44,0.068643,48
trackName,37,Bring Me To Life,44,0.068643,47
trackName,38,Amazing Grace,43,0.067083,91
trackName,39,Zombie,43,0.067083,48
trackName,40,How to Save a Life,43,0.067083,44
trackName,41,Hurricane,43,0.067083,44
trackName,42,Money Trees,42,0.065523,47
trackName,43,Smells Like Teen Spirit,42,0.065523,47
trackName,44,Poison,42,0.065523,46
trackName,45,The Scientist,42,0.065523,43
trackName,46,In My Room,41,0.063963,47
