category,rank,value,count
trackName,1,Funeral,916
trackName,2,Home,112
trackName,3,Amazing Grace,91
trackName,4,Stay,80
trackName,5,Runaway,78
trackName,6,Creep,77
trackName,7,Heaven,76
trackName,8,Numb,69
trackName,9,Monster,67
trackName,10,Hallelujah,64
trackName,11,Forever,63
trackName,12,Iris,63
trackName,13,Hold On,60
trackName,14,Memories,60
trackName,15,The Night We Met,58
trackName,16,No Surprises,57
trackName,17,Angel,56
trackName,18,Moonlight,55
trackName,19,My Way,53
trackName,20,Wish You Were Here,53
trackName,21,See You Again (feat. Charlie Puth),52
trackName,22,Ride,52
trackName,23,I Hate Everything About You,51
trackName,24,Lose Control,51
trackName,25,Heartless,50
trackName,26,Yellow,49
trackName,27,Sweater Weather,49
trackName,28,Lost,49
trackName,29,Mr. Brightside,49
trackName,30,Pain,48
trackName,31,All I Want,48
trackName,32,Let Down,48
trackName,33,Zombie,48
trackName,34,All I Need,48
trackName,35,Ghost,47
trackName,36,In My Room,47
trackName,37,Homecoming,47
trackName,38,Flashing Lights,47
trackName,39,505,47
trackName,40,Smells Like Teen Spirit,47
trackName,41,Bring Me To Life,47
trackName,42,Money Trees,47
trackName,43,Come a Little Closer,47
trackName,44,Fourth of July,46
trackName,45,See You Again (feat. Kali Uchis),46
trackName,46,Poison,46
trackName,47,Everlong,45
trackName,48,Insane,45
trackName,49,Hurricane,44
trackName,50,How to Save a Life,44
albumName,1,Greatest Hits,383
albumName,2,Stranger in the Alps,376
albumName,3,Stranger in the Alps (Deluxe Edition),318
albumName,4,Funeral,287
albumName,5,Graduation,251
albumName,6,Insane,237
albumName,7,OK Computer,223
albumName,8,Blonde,220
albumName,9,AM,203
albumName,10,Don't look back,201
albumName,11,DAMN.,197
albumName,12,IGOR,184
albumName,13,"good kid, m.A.A.d city (Deluxe)",177
albumName,14,My Beautiful Dark Twisted Fantasy,175
albumName,15,One-X,170
albumName,16,Nevermind (Remastered),170
albumName,17,Collide With The Sky,165
albumName,18,The Black Parade,164
albumName,19,ASTROWORLD,164
albumName,20,Mr. Morale & The Big Steppers,162
albumName,21,MUSIC,160
albumName,22,channel ORANGE,148
albumName,23,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",147
albumName,24,The Life Of Pablo,147
albumName,25,To Pimp A Butterfly,146
albumName,26,Late Registration,144
albumName,27,Certified Lover Boy,144
albumName,28,Toxicity,142
albumName,29,The College Dropout,141
albumName,30,Three Cheers for Sweet Revenge,139
albumName,31,CHROMAKOPIA,138
albumName,32,HIT ME HARD AND SOFT,137
albumName,33,Whole Lotta Red,137
albumName,34,Blurryface,137
albumName,35,Her Loss,136
albumName,36,SOUR,134
albumName,37,Take Care (Deluxe),134
albumName,38,Happier Than Ever,133
albumName,39,GNX,132
albumName,40,Cigarettes After Sex,132
albumName,41,Views,130
albumName,42,The Rise and Fall of a Midwest Princess,130
albumName,43,Weezer,130
albumName,44,Currents,129
albumName,45,UTOPIA,128
albumName,46,?,127
albumName,47,Die Lit,126
albumName,48,songs,125
albumName,49,17,123
albumName,50,Luv Is Rage 2,122
artistName,1,Drake,1932
artistName,2,Kanye West,1743
artistName,3,Kendrick Lamar,1387
artistName,4,$uicideboy$,1224
artistName,5,Phoebe Bridgers,1205
artistName,6,Travis Scott,1107
artistName,7,"Tyler, The Creator",936
artistName,8,Future,877
artistName,9,Lil Uzi Vert,824
artistName,10,Radiohead,802
artistName,11,21 Savage,735
artistName,12,Playboi Carti,713
artistName,13,Mac Miller,685
artistName,14,Billie Eilish,684
artistName,15,Taylor Swift,665
artistName,16,Eminem,659
artistName,17,Lil Peep,657
artistName,18,The Weeknd,646
artistName,19,My Chemical Romance,629
artistName,20,J. Cole,615
artistName,21,Juice WRLD,585
artistName,22,Frank Ocean,577
artistName,23,Three Days Grace,573
artistName,24,Metro Boomin,571
artistName,25,XXXTENTACION,563
artistName,26,Lana Del Rey,558
artistName,27,Nirvana,550
artistName,28,Deftones,520
artistName,29,Pierce The Veil,503
artistName,30,Arctic Monkeys,487
artistName,31,A$AP Rocky,458
artistName,32,Don Toliver,454
artistName,33,Rihanna,450
artistName,34,SZA,450
artistName,35,Gorillaz,444
artistName,36,Metallica,443
artistName,37,Lady Gaga,436
artistName,38,Linkin Park,435
artistName,39,Young Thug,434
artistName,40,Lil Baby,433
artistName,41,The Smiths,427
artistName,42,Lil Wayne,425
artistName,43,Post Malone,420
artistName,44,Gunna,417
artistName,45,Coldplay,399
artistName,46,The Beatles,399
artistName,47,Green Day,396
artistName,48,System Of A Down,394
artistName,49,Panic! At The Disco,389
artistName,50,Mitski,388
